Unnamed: 0,index,Year,Type,Country,Area,Location,Activity,Sex of Victim,Age,Injury,Fatal (Y/N),Time,Species,Month,Day,Hour,Day - 6
338.0,338.0,2017,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Scuba Diving,U,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m",1,21.0,12.0,
339.0,339.0,2017,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,U,57,Injury to hand,N,13h30,Unknown,1,13.0,13.0,
341.0,341.0,2017,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,U,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m",1,9.0,7.0,
343.0,343.0,2017,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",Wading,U,47,Minor injuries to foot,N,12h30,Unknown,1,5.0,12.0,
345.0,345.0,2016,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,U,16,Lacerations to right forearm,N,17h00,Unknown,12,27.0,17.0,
347.0,347.0,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing,U,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m",12,19.0,7.0,
348.0,348.0,2016,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Free diving,U,61,Punctures to left foot/ankle,N,09h30,Unknown,12,14.0,9.0,
351.0,351.0,2016,Provoked,AUSTRALIA,New South Wales,Merimbula,Surf fishing,U,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m",12,6.0,2.0,
352.0,352.0,2016,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,U,65,Injuries to foot & arm,N,09h00,White shark,12,1.0,9.0,
353.0,353.0,2016,Provoked,AUSTRALIA,Victoria,Queenscliff,Fishing,U,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m",11,28.0,11.0,
354.0,354.0,2016,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,U,58,Injuries to right calf and thigh,N,10h30,Tiger shark,11,14.0,10.0,
355.0,355.0,2016,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,U,41,Lacerations to right foot and ankle,N,13h30,Unknown,10,30.0,13.0,
356.0,356.0,2016,Unprovoked,USA,Florida,Mayport Naval Station Duval County,Surfing,U,42,Lacerations to right hand,N,13h30,Unknown,10,29.0,13.0,
357.0,357.0,2016,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,U,36,Lacerations to left thigh,N,07h30,Unknown,10,24.0,7.0,
358.0,358.0,2016,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,U,36,Left arm and leg injured,N,17h00,6' to 8' shark,10,21.0,17.0,
360.0,360.0,2016,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,U,66,Injuries to left calf,N,09h50,Unknown,10,14.0,9.0,
362.0,362.0,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,U,25,Minor wound to lower right leg & surfboard bitten,N,10h30,Unknown,10,12.0,10.0,
363.0,363.0,2016,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,U,29,Wounds to upper thigh and lower leg,N,16h00,Unknown,10,10.0,16.0,
364.0,364.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,21,Cuts to dorsal surface of left foot,N,11h30,Unknown,10,2.0,11.0,
365.0,365.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfng,U,32,Minor injuries,N,17h30,Unknown,10,1.0,17.0,
366.0,366.0,2016,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,U,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m",9,26.0,9.0,
367.0,367.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,16,Minor injury to thigh,N,13h00,Unknown,9,18.0,13.0,
368.0,368.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,36,Lacerations to hands,N,11h00,Unknown,9,18.0,11.0,
369.0,369.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,43,Lacerations to lower leg,N,10h43,Unknown,9,18.0,10.0,
370.0,370.0,2016,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,U,43,"No injury, board bitten",N,13h30,Unknown,9,17.0,13.0,
374.0,374.0,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,U,65,Minor injury to arm,N,15h15,3' to 4' shark,9,11.0,15.0,
375.0,375.0,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,U,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'",9,7.0,14.0,
376.0,376.0,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,U,50,FATAL,Y,15h40,Unknown,9,6.0,15.0,
